ID,Name,Date,Satellite
1,B,30-06-1999,L7
4,E,30-06-1999,L7
4,E,30-06-1999,L7
2,C,08-07-1999,L7
0,A,09-07-1999,L7
4,E,16-07-1999,L7
4,E,16-07-1999,L7
0,A,25-07-1999,L7
3,D,02-08-1999,L7
1,B,17-08-1999,L7
4,E,17-08-1999,L7
4,E,17-08-1999,L7
3,D,18-08-1999,L7
0,A,26-08-1999,L7
1,B,02-09-1999,L7
1,B,18-09-1999,L7
3,D,19-09-1999,L7
2,C,26-09-1999,L7
4,E,04-10-1999,L7
3,D,05-10-1999,L7
2,C,12-10-1999,L7
1,B,20-10-1999,L7
4,E,20-10-1999,L7
0,A,29-10-1999,L7
3,D,06-11-1999,L7
2,C,29-11-1999,L7
4,E,07-12-1999,L7
1,B,07-12-1999,L7
0,A,16-12-1999,L7
4,E,23-12-1999,L7
4,E,24-01-2000,L7
4,E,24-01-2000,L7
1,B,24-01-2000,L7
2,C,01-02-2000,L7
0,A,18-02-2000,L7
4,E,25-02-2000,L7
4,E,25-02-2000,L7
0,A,05-03-2000,L7
2,C,20-03-2000,L7
3,D,29-03-2000,L7
0,A,06-04-2000,L7
1,B,13-04-2000,L7
4,E,13-04-2000,L7
4,E,13-04-2000,L7
3,D,14-04-2000,L7
2,C,21-04-2000,L7
2,C,07-05-2000,L7
4,E,15-05-2000,L7
4,E,15-05-2000,L7
0,A,24-05-2000,L7
4,E,16-06-2000,L7
1,B,16-06-2000,L7
3,D,03-07-2000,L7
1,B,03-08-2000,L7
4,E,03-08-2000,L7
4,E,03-08-2000,L7
2,C,11-08-2000,L7
1,B,19-08-2000,L7
4,E,19-08-2000,L7
4,E,19-08-2000,L7
2,C,27-08-2000,L7
0,A,28-08-2000,L7
4,E,04-09-2000,L7
4,E,04-09-2000,L7
2,C,12-09-2000,L7
0,A,13-09-2000,L7
1,B,20-09-2000,L7
4,E,20-09-2000,L7
4,E,20-09-2000,L7
4,E,06-10-2000,L7
4,E,06-10-2000,L7
3,D,07-10-2000,L7
2,C,14-10-2000,L7
0,A,15-10-2000,L7
1,B,22-10-2000,L7
4,E,22-10-2000,L7
4,E,22-10-2000,L7
3,D,08-11-2000,L7
2,C,15-11-2000,L7
1,B,23-11-2000,L7
0,A,02-12-2000,L7
4,E,09-12-2000,L7
4,E,09-12-2000,L7
3,D,10-12-2000,L7
2,C,17-12-2000,L7
0,A,18-12-2000,L7
4,E,25-12-2000,L7
4,E,25-12-2000,L7
4,E,10-01-2001,L7
4,E,10-01-2001,L7
1,B,10-01-2001,L7
0,A,19-01-2001,L7
4,E,26-01-2001,L7
4,E,26-01-2001,L7
3,D,27-01-2001,L7
0,A,04-02-2001,L7
4,E,11-02-2001,L7
4,E,11-02-2001,L7
1,B,11-02-2001,L7
2,C,19-02-2001,L7
4,E,27-02-2001,L7
4,E,27-02-2001,L7
2,C,07-03-2001,L7
0,A,08-03-2001,L7
1,B,15-03-2001,L7
2,C,08-04-2001,L7
0,A,09-04-2001,L7
4,E,16-04-2001,L7
1,B,16-04-2001,L7
1,B,02-05-2001,L7
4,E,02-05-2001,L7
4,E,02-05-2001,L7
3,D,03-05-2001,L7
2,C,10-05-2001,L7
4,E,18-05-2001,L7
0,A,27-05-2001,L7
1,B,03-06-2001,L7
4,E,19-06-2001,L7
4,E,19-06-2001,L7
3,D,20-06-2001,L7
3,D,06-07-2001,L7
2,C,13-07-2001,L7
3,D,22-07-2001,L7
2,C,29-07-2001,L7
0,A,30-07-2001,L7
4,E,06-08-2001,L7
3,D,07-08-2001,L7
0,A,15-08-2001,L7
3,D,23-08-2001,L7
0,A,31-08-2001,L7
4,E,07-09-2001,L7
1,B,07-09-2001,L7
4,E,07-09-2001,L7
3,D,08-09-2001,L7
2,C,15-09-2001,L7
1,B,23-09-2001,L7
3,D,24-09-2001,L7
0,A,18-10-2001,L7
3,D,26-10-2001,L7
2,C,02-11-2001,L7
4,E,10-11-2001,L7
1,B,10-11-2001,L7
4,E,10-11-2001,L7
3,D,13-12-2001,L7
0,A,21-12-2001,L7
4,E,28-12-2001,L7
4,E,28-12-2001,L7
3,D,29-12-2001,L7
1,B,13-01-2002,L7
2,C,21-01-2002,L7
0,A,22-01-2002,L7
4,E,29-01-2002,L7
4,E,29-01-2002,L7
2,C,06-02-2002,L7
0,A,07-02-2002,L7
4,E,14-02-2002,L7
4,E,14-02-2002,L7
3,D,15-02-2002,L7
2,C,22-02-2002,L7
1,B,02-03-2002,L7
3,D,03-03-2002,L7
2,C,10-03-2002,L7
0,A,11-03-2002,L7
4,E,18-03-2002,L7
4,E,18-03-2002,L7
3,D,19-03-2002,L7
2,C,26-03-2002,L7
3,D,04-04-2002,L7
2,C,11-04-2002,L7
4,E,19-04-2002,L7
3,D,20-04-2002,L7
2,C,27-04-2002,L7
0,A,28-04-2002,L7
1,B,05-05-2002,L7
2,C,13-05-2002,L7
4,E,21-05-2002,L7
4,E,21-05-2002,L7
3,D,22-05-2002,L7
1,B,06-06-2002,L7
2,C,14-06-2002,L7
0,A,15-06-2002,L7
4,E,24-07-2002,L7
3,D,25-07-2002,L7
2,C,01-08-2002,L7
0,A,02-08-2002,L7
3,D,10-08-2002,L7
0,A,18-08-2002,L7
3,D,26-08-2002,L7
0,A,03-09-2002,L7
4,E,10-09-2002,L7
4,E,10-09-2002,L7
1,B,10-09-2002,L7
2,C,18-09-2002,L7
0,A,19-09-2002,L7
4,E,26-09-2002,L7
4,E,26-09-2002,L7
3,D,27-09-2002,L7
0,A,05-10-2002,L7
1,B,12-10-2002,L7
4,E,12-10-2002,L7
4,E,12-10-2002,L7
3,D,13-10-2002,L7
2,C,20-10-2002,L7
4,E,28-10-2002,L7
4,E,28-10-2002,L7
3,D,29-10-2002,L7
1,B,13-11-2002,L7
0,A,22-11-2002,L7
4,E,29-11-2002,L7
1,B,15-12-2002,L7
4,E,15-12-2002,L7
4,E,15-12-2002,L7
3,D,16-12-2002,L7
2,C,23-12-2002,L7
0,A,09-01-2003,L7
4,E,16-01-2003,L7
1,B,16-01-2003,L7
3,D,17-01-2003,L7
2,C,24-01-2003,L7
0,A,25-01-2003,L7
1,B,01-02-2003,L7
4,E,01-02-2003,L7
4,E,01-02-2003,L7
3,D,02-02-2003,L7
0,A,10-02-2003,L7
3,D,18-02-2003,L7
2,C,25-02-2003,L7
0,A,26-02-2003,L7
4,E,05-03-2003,L7
1,B,05-03-2003,L7
4,E,05-03-2003,L7
3,D,06-03-2003,L7
2,C,13-03-2003,L7
4,E,21-03-2003,L7
1,B,21-03-2003,L7
4,E,21-03-2003,L7
3,D,22-03-2003,L7
0,A,30-03-2003,L7
2,C,14-04-2003,L7
1,B,22-04-2003,L7
3,D,23-04-2003,L7
2,C,30-04-2003,L7
0,A,01-05-2003,L7
4,E,08-05-2003,L7
4,E,08-05-2003,L7
3,D,09-05-2003,L7
3,D,25-05-2003,L7
2,C,19-07-2003,L7
4,E,27-07-2003,L7
3,D,28-07-2003,L7
2,C,04-08-2003,L7
4,E,12-08-2003,L7
4,E,12-08-2003,L7
3,D,13-08-2003,L7
4,E,28-08-2003,L7
3,D,29-08-2003,L7
2,C,21-09-2003,L7
0,A,22-09-2003,L7
1,B,29-09-2003,L7
4,E,15-10-2003,L7
4,E,15-10-2003,L7
2,C,23-10-2003,L7
0,A,24-10-2003,L7
3,D,01-11-2003,L7
2,C,08-11-2003,L7
0,A,09-11-2003,L7
1,B,16-11-2003,L7
3,D,17-11-2003,L7
2,C,24-11-2003,L7
0,A,25-11-2003,L7
1,B,02-12-2003,L7
3,D,03-12-2003,L7
2,C,10-12-2003,L7
0,A,11-12-2003,L7
4,E,18-12-2003,L7
4,E,18-12-2003,L7
1,B,18-12-2003,L7
3,D,19-12-2003,L7
2,C,26-12-2003,L7
3,D,04-01-2004,L7
2,C,11-01-2004,L7
0,A,12-01-2004,L7
4,E,19-01-2004,L7
1,B,19-01-2004,L7
3,D,20-01-2004,L7
2,C,27-01-2004,L7
1,B,04-02-2004,L7
4,E,04-02-2004,L7
3,D,05-02-2004,L7
